r ,g,b
0.505882,0.121569,0.941176
0.486275,0.117647,0.941176
0.466667,0.113725,0.945098
0.447059,0.105882,0.94902
0.423529,0.101961,0.94902
0.403922,0.094118,0.952941
0.380392,0.090196,0.956863
0.356863,0.082353,0.960784
0.337255,0.078431,0.960784
0.313726,0.070588,0.964706
0.286275,0.066667,0.968627
0.262745,0.058824,0.968627
0.239216,0.054902,0.972549
0.215686,0.047059,0.976471
0.188235,0.043137,0.980392
0.164706,0.035294,0.980392
0.137255,0.027451,0.984314
0.109804,0.023529,0.988235
0.082353,0.015686,0.988235
0.054902,0.011765,0.992157
0.027451,0.003922,0.996078
0,0,1
0.011765,0.023529,0.992157
0.023529,0.047059,0.988235
0.039216,0.070588,0.980392
0.05098,0.094118,0.976471
0.066667,0.117647,0.968627
0.078431,0.141176,0.964706
0.090196,0.164706,0.960784
0.101961,0.184314,0.952941
0.113725,0.203922,0.94902
0.129412,0.223529,0.941176
0.141176,0.243137,0.937255
0.152941,0.262745,0.929412
0.164706,0.282353,0.92549
0.176471,0.298039,0.921569
0.188235,0.317647,0.913725
0.2,0.333333,0.909804
0.207843,0.34902,0.901961
0.219608,0.364706,0.898039
0.231373,0.380392,0.890196
0.243137,0.396078,0.886275
0.254902,0.411765,0.882353
0.247059,0.415686,0.886275
0.243137,0.419608,0.890196
0.235294,0.423529,0.898039
0.231373,0.431373,0.901961
0.223529,0.435294,0.909804
0.219608,0.443137,0.913725
0.211765,0.45098,0.921569
0.203922,0.454902,0.92549
0.2,0.462745,0.929412
0.192157,0.470588,0.937255
0.184314,0.478431,0.941176
0.180392,0.482353,0.94902
0.172549,0.490196,0.952941
0.164706,0.498039,0.960784
0.160784,0.509804,0.964706
0.152941,0.517647,0.968627
0.145098,0.52549,0.976471
0.137255,0.533333,0.980392
0.129412,0.545098,0.988235
0.121569,0.552941,0.992157
0.113725,0.564706,1
0.109804,0.568627,1
0.105882,0.576471,1
0.098039,0.584314,1
0.094118,0.592157,1
0.086275,0.6,1
0.082353,0.607843,1
0.07451,0.619608,1
0.070588,0.627451,1
0.066667,0.635294,1
0.058824,0.643137,1
0.054902,0.65098,1
0.047059,0.662745,1
0.043137,0.670588,1
0.035294,0.678431,1
0.031373,0.690196,1
0.027451,0.698039,1
0.019608,0.705882,1
0.015686,0.717647,1
0.007843,0.72549,1
0.003922,0.737255,1
0,0.74902,1
0.027451,0.74902,0.996078
0.054902,0.74902,0.992157
0.082353,0.74902,0.988235
0.109804,0.74902,0.984314
0.137255,0.752941,0.984314
0.160784,0.752941,0.980392
0.188235,0.756863,0.976471
0.215686,0.756863,0.972549
0.243137,0.760784,0.972549
0.270588,0.760784,0.968627
0.294118,0.764706,0.964706
0.321569,0.768627,0.960784
0.345098,0.768627,0.960784
0.372549,0.772549,0.956863
0.396078,0.776471,0.952941
0.423529,0.780392,0.94902
0.447059,0.784314,0.94902
0.47451,0.788235,0.945098
0.498039,0.792157,0.941176
0.521569,0.796078,0.937255
0.54902,0.803922,0.937255
0.560784,0.807843,0.937255
0.572549,0.815686,0.937255
0.584314,0.819608,0.941176
0.596078,0.827451,0.941176
0.607843,0.831373,0.945098
0.619608,0.839216,0.945098
0.631373,0.843137,0.94902
0.643137,0.85098,0.94902
0.658824,0.854902,0.952941
0.670588,0.862745,0.952941
0.682353,0.866667,0.956863
0.694118,0.870588,0.956863
0.705882,0.878431,0.960784
0.721569,0.882353,0.960784
0.733333,0.890196,0.964706
0.745098,0.894118,0.964706
0.756863,0.901961,0.968627
0.772549,0.905882,0.968627
0.784314,0.913725,0.972549
0.796078,0.917647,0.972549
0.811765,0.92549,0.976471
1,1,0.784314
1,0.996078,0.752941
1,0.996078,0.72549
1,0.992157,0.698039
1,0.988235,0.670588
1,0.984314,0.643137
1,0.980392,0.615686
1,0.976471,0.584314
1,0.972549,0.556863
1,0.968627,0.529412
1,0.964706,0.501961
1,0.956863,0.47451
1,0.952941,0.447059
1,0.945098,0.419608
1,0.937255,0.388235
1,0.933333,0.360784
1,0.92549,0.333333
1,0.917647,0.305882
1,0.905882,0.278431
1,0.898039,0.25098
1,0.890196,0.223529
1,0.882353,0.192157
1,0.870588,0.184314
1,0.862745,0.176471
1,0.854902,0.164706
1,0.843137,0.156863
1,0.835294,0.14902
1,0.827451,0.137255
1,0.815686,0.129412
1,0.807843,0.117647
1,0.796078,0.109804
1,0.788235,0.101961
1,0.776471,0.090196
1,0.764706,0.082353
1,0.756863,0.07451
1,0.745098,0.062745
1,0.733333,0.054902
1,0.721569,0.043137
1,0.709804,0.035294
1,0.701961,0.027451
1,0.690196,0.015686
1,0.678431,0.007843
1,0.666667,0
1,0.654902,0
1,0.643137,0
1,0.631373,0
1,0.619608,0
1,0.607843,0
1,0.596078,0
1,0.584314,0
1,0.576471,0
1,0.564706,0
1,0.552941,0
1,0.541176,0
1,0.529412,0
1,0.517647,0
1,0.505882,0
1,0.498039,0
1,0.486275,0
1,0.47451,0
1,0.462745,0
1,0.45098,0
1,0.439216,0
1,0.431373,0
1,0.407843,0
1,0.388235,0
1,0.368627,0
1,0.34902,0
1,0.32549,0
1,0.305882,0
1,0.286275,0
1,0.266667,0
1,0.243137,0
1,0.223529,0
1,0.203922,0
1,0.184314,0
1,0.160784,0
1,0.141176,0
1,0.121569,0
1,0.101961,0
1,0.078431,0
1,0.058824,0
1,0.039216,0
1,0.019608,0
1,0,0
0.988235,0,0
0.976471,0,0
0.968627,0,0
0.956863,0,0
0.945098,0,0
0.937255,0,0
0.92549,0,0
0.917647,0,0
0.905882,0,0
0.894118,0,0
0.886275,0,0
0.87451,0,0
0.862745,0,0
0.854902,0,0
0.843137,0,0
0.835294,0,0
0.823529,0,0
0.811765,0,0
0.803922,0,0
0.792157,0,0
0.784314,0,0
0.792157,0.023529,0.023529
0.803922,0.05098,0.05098
0.811765,0.078431,0.078431
0.823529,0.105882,0.105882
0.835294,0.137255,0.137255
0.843137,0.168627,0.168627
0.854902,0.196078,0.196078
0.862745,0.227451,0.227451
0.87451,0.258824,0.258824
0.886275,0.294118,0.294118
0.894118,0.32549,0.32549
0.905882,0.360784,0.360784
0.917647,0.396078,0.396078
0.92549,0.431373,0.431373
0.937255,0.466667,0.466667
0.945098,0.501961,0.501961
0.956863,0.541176,0.541176
0.968627,0.576471,0.576471
0.976471,0.615686,0.615686
0.988235,0.654902,0.654902
1,0.698039,0.698039
